poet_id,작가,책 제목,출판사,시리즈,번호,출판년도,등단년도,등단매체,등단매체_정규화,등단경로,등단장르,n_works_in_book
P0187,신두호,사라진 입을 위한 선언,창비,창비시선,407,2017,1984,강원일보 신춘문예,강원일보 신춘문예,신춘문예,시,4
P0186,신동호,그림자를 가지러 가야 한다,창비,창비시선,478,2022,1984,강원일보 신춘문예,강원일보 신춘문예,신춘문예,시,1
P0319,장석남,고요는 도망가지 말아라,문학동네,문학동네 시인선,15,2012,1987,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,1
P0319,장석남,뺨에 서쪽을 빛내다,창비,창비시선,317,2010,1987,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,1
P0319,장석남,"미소는, 어디로 가시려는가",문학과지성사,문학과지성 시인선,304,2005,1987,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,2
P0294,이제니,그리하여 흘려 쓴 것들,문학과지성사,문학과지성 시인선,520,2019,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,27
P0294,이제니,왜냐하면 우리는 우리를 모르고,문학과지성사,문학과지성 시인선,460,2014,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,14
P0294,이제니,아마도 아프리카,창비,창비시선,321,2010,2008,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,18
P0248,이다희,시 창작 스터디,문학동네,문학동네 시인선,138,2020,2017,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,3
P0246,이기인,어깨 위로 떨어지는 편지,창비,창비시선,316,2010,2000,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,4
P0232,윤석정,오페라 미용실,민음사,민음의 시,159,2009,2004,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,7
P0143,박지일,물보라,민음사,민음의 시,326,2024,2020,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,60
P0140,박주택,시간의 동공,문학과지성사,문학과지성 시인선,368,2009,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,3
P0140,박주택,또 하나의 지구가 필요할 때,문학과지성사,문학과지성 시인선,436,2013,1986,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,5
P0062,김승희,단무지와 베이컨의 진실한 사람,창비,창비시선,457,2021,1973,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,1
P0062,김승희,빗자루를 타고 달리는 웃음,민음사,민음의 시,99,2000,1973,경향신문 신춘문예,경향신문 신춘문예,신춘문예,시,6
P0352,조영석,토이 크레인,문학동네,문학동네 시인선,46,2013,2004,계간 문학동네,문학동네,매체 및 문학상,시,3
P0111,마윤지,개구리극장,민음사,민음의 시,320,2024,2022,계간 파란 신인상,계간 파란 신인상,신인상,시,5
P0043,김민지,잠든 사람과의 통화,창비,창비시선,509,2024,2021,계간 파란 신인상,계간 파란 신인상,신인상,시,3
P0055,김선태,그늘의 깊이,문학동네,문학동네 시인선,62,2014,1993,광주일보 신춘문예,광주일보 신춘문예,신춘문예,시,12
P0055,김선태,살구꽃이 돌아왔다,창비,창비시선,299,2009,1993,광주일보 신춘문예,광주일보 신춘문예,신춘문예,시,12
P0150,박해석,중얼거리는 천사들,문학동네,문학동네 시인선,94,2017,1995,국민일보 문학상,국민일보 문학상,매체 및 문학상,시,1
P0244,이기리,젖은 풍경은 잘 말리기,문학과지성사,문학과지성 시인선,578,2022,2020,김수영문학상,김수영문학상,매체 및 문학상,시,4
P0244,이기리,그 웃음을 나도 좋아해,민음사,민음의 시,279,2020,2020,김수영문학상,김수영문학상,매체 및 문학상,시,11
P0147,박참새,정신머리,민음사,민음의 시,319,2023,2023,김수영문학상,김수영문학상,매체 및 문학상,시,1
P0132,박승민,끝은 끝으로 이어진,창비,창비시선,448,2020,2007,내일을 여는 작가,내일을 여는 작가,매체 및 문학상,시,9
P0132,박승민,해는 요즘도 아침에 뜨겠죠,창비,창비시선,508,2024,2007,내일을 여는 작가,내일을 여는 작가,매체 및 문학상,시,2
P0281,이용훈,근무일지,창비,창비시선,479,2022,2018,내일을 여는 작가 신인상,내일을 여는 작가,신인상,시,28
P0300,이창기,착한 애인은 없다네,창비,창비시선,380,2014,1993,노둣돌,노둣돌,매체 및 문학상,시,22
P0300,이창기,나라고 할 만한 것이 없다,문학과지성사,문학과지성 시인선,297,2005,1993,노둣돌,노둣돌,매체 및 문학상,시,1
P0066,김연덕,재와 사랑의 미래,민음사,민음의 시,283,2021,2018,대산대학문학상,대산대학문학상,매체 및 문학상,시,5
P0292,이정록,그럴 때가 있다,창비,창비시선,476,2022,1989,대전일보 신춘문예,대전일보 신춘문예,신춘문예,시,7
P0292,이정록,눈에 넣어도 아프지 않은 것들의 목록,창비,창비시선,404,2016,1989,대전일보 신춘문예,대전일보 신춘문예,신춘문예,시,8
P0292,이정록,정말,창비,창비시선,313,2010,1989,대전일보 신춘문예,대전일보 신춘문예,신춘문예,시,7
P0292,이정록,의자,문학과지성사,문학과지성 시인선,313,2006,1989,대전일보 신춘문예,대전일보 신춘문예,신춘문예,시,5
P0292,이정록,제비꽃 여인숙,민음사,민음의 시,105,2001,1989,대전일보 신춘문예,대전일보 신춘문예,신춘문예,시,3
P0320,장석원,역진화의 시작,문학과지성사,문학과지성 시인선,408,2012,2002,대한매일 신춘문예,대한매일 신춘문예,신춘문예,시,1
P0030,김경주,고래와 수증기,문학과지성사,문학과지성 시인선,445,2014,2003,대한매일 신춘문예,대한매일 신춘문예,신춘문예,시,1
P0030,김경주,시차의 눈을 달랜다,민음사,민음의 시,160,2009,2003,대한매일 신춘문예,대한매일 신춘문예,신춘문예,시,5
P0030,김경주,기담,문학과지성사,문학과지성 시인선,354,2008,2003,대한매일 신춘문예,대한매일 신춘문예,신춘문예,시,4
P0124,박상수,오늘 같이 있어,문학동네,문학동네 시인선,109,2018,2000,동서문학,동서문학,매체 및 문학상,시,17
P0124,박상수,숙녀의 기분,문학동네,문학동네 시인선,41,2013,2000,동서문학,동서문학,매체 및 문학상,시,5
P0069,김영래,하늘이 담긴 손,민음사,민음의 시,123,2004,1997,동서문학,동서문학,매체 및 문학상,시,3
P0334,정복여,먼지는 무슨 힘으로 뭉쳐지나,창비,창비시선,193,2000,1993,동서문학 신인상,동서문학,신인상,시,5
P0231,윤병무,5분의 추억,문학과지성사,문학과지성 시인선,248,2000,1995,동서문학 신인상,동서문학,신인상,시,2
P0346,정희성,흰 밤에 꿈꾸다,창비,창비시선,431,2019,1970,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,4
P0346,정희성,돌아다보면 문득,창비,창비시선,291,2008,1970,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,7
P0318,장대송,스스로 웃는 매미,문학동네,문학동네 시인선,25,2012,1991,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,1
P0318,장대송,섬들이 놀다,창비,창비시선,231,2003,1991,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,3
P0287,이은규,오래 속삭여도 좋을 이야기,문학동네,문학동네 시인선,125,2019,2008,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,4
P0287,이은규,다정한 호칭,문학동네,문학동네 시인선,18,2012,2008,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,2
P0202,안미옥,온,창비,창비시선,408,2017,2012,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,3
P0201,안도현,능소화가 피면서 악기를 창가에 걸어둘 수 있게 되었다,창비,창비시선,449,2020,1984,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,1
P0201,안도현,북항,문학동네,문학동네 시인선,20,2012,1984,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,9
P0201,안도현,간절하게 참 철없이,창비,창비시선,283,2008,1984,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,1
P0201,안도현,너에게 가려고 강을 만들다,창비,창비시선,239,2004,1984,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,5
P0156,배용제,이 달콤한 감각,문학과지성사,문학과지성 시인선,282,2004,1997,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,1
P0123,박라연,아무것도 안 하는 애인,문학과지성사,문학과지성 시인선,577,2023,1990,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,1
P0102,남진우,나는 어둡고 적막한 집에 홀로 있었다,문학동네,문학동네 시인선,140,2020,1981,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,48
P0102,남진우,사랑의 어두운 저편,창비,창비시선,308,2009,1981,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,3
P0089,김중일,만약 우리의 시 속에 아침이 오지 않는다면,문학과지성사,문학과지성 시인선,565,2022,2002,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,2
P0089,김중일,가슴에서 사슴까지,창비,창비시선,424,2018,2002,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,5
P0089,김중일,내가 살아갈 사람,창비,창비시선,424,2015,2002,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,7
P0089,김중일,내가 살아갈 사람,창비,창비시선,418,2015,2002,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,7
P0089,김중일,내가 살아갈 사람,창비,창비시선,412,2015,2002,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,7
P0089,김중일,내가 살아갈 사람,창비,창비시선,406,2015,2002,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,7
P0089,김중일,내가 살아갈 사람,창비,창비시선,400,2015,2002,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,7
P0089,김중일,내가 살아갈 사람,창비,창비시선,394,2015,2002,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,7
P0089,김중일,내가 살아갈 사람,창비,창비시선,388,2015,2002,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,7
P0089,김중일,아무튼 씨 미안해요,창비,창비시선,347,2012,2002,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,3
P0089,김중일,국경꽃집,창비,창비시선,275,2007,2002,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,4
P0056,김성규,천국은 언제쯤 망가진 자들을 수거해가나,창비,창비시선,359,2013,2004,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,2
P0056,김성규,너는 잘못 날아왔다,창비,창비시선,288,2008,2004,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,1
P0034,김기형,저녁은 넓고 조용해 왜 노래를 부르지 않니,문학동네,문학동네 시인선,159,2021,2017,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,1
P0020,권민경,베개는 얼마나 많은 꿈을 견뎌냈나요,문학동네,문학동네 시인선,114,2018,2011,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,1
P0015,곽은영,관목들,문학동네,문학동네 시인선,143,2020,2006,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,5
P0015,곽은영,불한당들의 모험,문학동네,문학동네 시인선,31,2012,2006,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,1
P0013,고창환,발자국들이 남긴 길,문학과지성사,문학과지성 시인선,245,2000,1996,동아일보 신춘문예,동아일보 신춘문예,신춘문예,시,6
P0303,이향,희다,문학동네,문학동네 시인선,47,2013,2002,매일신문 신춘문예,매일신문 신춘문예,신춘문예,시,11
P0155,배영옥,백날을 함께 살고 일생이 갔다,문학동네,문학동네 시인선,122,2019,1999,매일신문 신춘문예,매일신문 신춘문예,신춘문예,시,7
P0114,문성해,밥이나 한번 먹자고 할 때,문학동네,문학동네 시인선,88,2016,1998,매일신문 신춘문예,매일신문 신춘문예,신춘문예,시,2
P0114,문성해,입술을 건너간 이름,창비,창비시선,351,2012,1998,매일신문 신춘문예,매일신문 신춘문예,신춘문예,시,4
P0114,문성해,자라,창비,창비시선,253,2005,1998,매일신문 신춘문예,매일신문 신춘문예,신춘문예,시,2
P0017,구광렬,슬프다 할 뻔했다,문학과지성사,문학과지성 시인선,426,2013,1986,멕시코 문예지 마침표 (El Punto),멕시코 문예지 마침표 (El Punto),매체 및 문학상,시,1
P0224,유종인,아껴 먹는 슬픔,문학과지성사,문학과지성 시인선,256,2001,1996,문예중앙,문예중앙,매체 및 문학상,시,1
P0029,김경인,일부러 틀리게 진심으로,문학동네,문학동네 시인선,139,2020,2001,문예중앙,문예중앙,매체 및 문학상,시,5
P0029,김경인,"얘들아, 모든 이름을 사랑해",민음사,민음의 시,184,2012,2001,문예중앙,문예중앙,매체 및 문학상,시,5
P0164,서상영,눈과 오이디푸스,문학동네,문학동네 시인선,35,2012,1993,문예중앙 가을호,문예중앙,매체 및 문학상,시,15
P0164,서상영,꽃과 숨기장난,문학과지성사,문학과지성 시인선,317,2006,1993,문예중앙 가을호,문예중앙,매체 및 문학상,시,3
P0304,이현승,대답이고 부탁인 말,문학동네,문학동네 시인선,160,2021,2002,문예중앙 신인문학상,문예중앙,신인상,시,2
P0304,이현승,생활이라는 생각,창비,창비시선,392,2015,2002,문예중앙 신인문학상,문예중앙,신인상,시,1
P0275,이영광,끝없는 사람,문학과지성사,문학과지성 시인선,512,2018,1998,문예중앙 신인문학상,문예중앙,신인상,시,1
P0275,이영광,나무는 간다,창비,창비시선,366,2013,1998,문예중앙 신인문학상,문예중앙,신인상,시,1
P0275,이영광,아픈 천국,창비,창비시선,318,2010,1998,문예중앙 신인문학상,문예중앙,신인상,시,1
P0275,이영광,직선 위에서 떨다,창비,창비시선,226,2003,1998,문예중앙 신인문학상,문예중앙,신인상,시,5
P0157,배진우,얼룩말 상자,민음사,민음의 시,317,2023,2016,문예중앙 신인문학상,문예중앙,신인상,시,2
P0116,문태준,아침은 생각한다,창비,창비시선,471,2022,1994,문예중앙 신인문학상,문예중앙,신인상,시,8
P0116,문태준,내가 사모하는 일에 무슨 끝이 있나요,문학동네,문학동네 시인선,101,2018,1994,문예중앙 신인문학상,문예중앙,신인상,시,1
P0116,문태준,우리들의 마지막 얼굴,창비,창비시선,387,2015,1994,문예중앙 신인문학상,문예중앙,신인상,시,9
P0116,문태준,먼 곳,창비,창비시선,343,2012,1994,문예중앙 신인문학상,문예중앙,신인상,시,1
P0116,문태준,맨발,창비,창비시선,238,2004,1994,문예중앙 신인문학상,문예중앙,신인상,시,1
P0116,문태준,수란거리는 뒤란,창비,창비시선,196,2000,1994,문예중앙 신인문학상,문예중앙,신인상,시,5
P0042,김민정,너의 거기는 작고 나의 여기는 커서 우리들은 헤어지는 중입니다,문학과지성사,문학과지성 시인선,536,2019,1999,문예중앙 신인문학상,문예중앙,신인상,시,8
P0042,김민정,아름답고 쓸모없기를,문학동네,문학동네 시인선,84,2016,1999,문예중앙 신인문학상,문예중앙,신인상,시,4
P0042,김민정,"그녀가 처음, 느끼기 시작했다",문학과지성사,문학과지성 시인선,370,2009,1999,문예중앙 신인문학상,문예중앙,신인상,시,26
P0024,권혁웅,애인은 토막 난 순대처럼 운다,창비,창비시선,369,2013,1997,문예중앙 신인문학상,문예중앙,신인상,시,10
P0024,권혁웅,소문들,문학과지성사,문학과지성 시인선,384,2010,1997,문예중앙 신인문학상,문예중앙,신인상,시,12
P0024,권혁웅,그 얼굴에 입술을 대다,민음사,민음의 시,141,2007,1997,문예중앙 신인문학상,문예중앙,신인상,시,15
P0024,권혁웅,마징가 계보학,창비,창비시선,254,2005,1997,문예중앙 신인문학상,문예중앙,신인상,시,8
P0317,장경린,토종닭 연구소,문학과지성사,문학과지성 시인선,310,2005,1985,문예중앙 신인상,문예중앙,신인상,시,1
P0205,안태운,산책하는 사람에게,문학과지성사,문학과지성 시인선,550,2020,2014,문예중앙 신인상,문예중앙,신인상,시,6
P0205,안태운,감은 눈이 내 얼굴을,민음사,민음의 시,228,2016,2014,문예중앙 신인상,문예중앙,신인상,시,31
P0165,서영처,말뚝에 묶인 피아노,문학과지성사,문학과지성 시인선,463,2015,2003,문학/판,문학,매체 및 문학상,시,18
P0288,이응준,"목화, 어두운 마음의 깊이",민음사,민음의 시,251,2018,1990,문학과 비평,문학과 비평,매체 및 문학상,시,9
P0288,이응준,애인,민음사,민음의 시,183,2012,1990,문학과 비평,문학과 비평,매체 및 문학상,시,2
P0241,이경림,급! 고독,창비,창비시선,430,2019,1989,문학과 비평,문학과 비평,매체 및 문학상,시,1
P0082,김점용,오늘 밤 잠들 곳이 마땅찮다,문학과지성사,문학과지성 시인선,253,2001,1997,문학과 사회,문학과사회,매체 및 문학상,시,1
P0400,함성호,타지 않는 혀,문학과지성사,문학과지성 시인선,559,2022,1990,문학과사회,문학과사회,매체 및 문학상,시,1
P0400,함성호,키르티무카,문학과지성사,문학과지성 시인선,388,2011,1990,문학과사회,문학과사회,매체 및 문학상,시,3
P0400,함성호,너무 아름다운 병,문학과지성사,문학과지성 시인선,259,2001,1990,문학과사회,문학과사회,매체 및 문학상,시,3
P0393,한강,서랍에 저녁을 넣어 두었다,문학과지성사,문학과지성 시인선,438,2013,1993,문학과사회,문학과사회,매체 및 문학상,시,2
P0366,차창용,나무물고기,문학과지성사,문학과지성 시인선,267,2002,1989,문학과사회,문학과사회,매체 및 문학상,시,1
P0365,진은영,나는 오래된 거리처럼 너를 사랑하고,문학과지성사,문학과지성 시인선,572,2022,2000,문학과사회,문학과사회,매체 및 문학상,시,4
P0356,조인선,황홀한 숲,문학과지성사,문학과지성 시인선,261,2002,1997,문학과사회,문학과사회,매체 및 문학상,시,4
P0349,조명,내 몸을 입으시겠어요?,민음사,민음의 시,278,2020,1989,문학과사회,문학과사회,매체 및 문학상,시,4
P0349,조명,여왕코끼리의 힘,민음사,민음의 시,145,2008,1989,문학과사회,문학과사회,매체 및 문학상,시,11
P0331,정남식,철갑 고래 뱃속에서,문학과지성사,문학과지성 시인선,298,2005,1988,문학과사회,문학과사회,매체 및 문학상,시,5
P0301,이철성,비파 소년이 사라진 거리,문학과지성사,문학과지성 시인선,363,2009,1996,문학과사회,문학과사회,매체 및 문학상,시,3
P0271,이승원,어둠과 설탕,문학과지성사,문학과지성 시인선,314,2006,2000,문학과사회,문학과사회,매체 및 문학상,시,13
P0265,이성미,"다른 시간, 다른 배열",문학과지성사,문학과지성 시인선,551,2020,2001,문학과사회,문학과사회,매체 및 문학상,시,1
P0245,이기성,동물의 자서전,문학과지성사,문학과지성 시인선,546,2020,1998,문학과사회,문학과사회,매체 및 문학상,시,17
P0245,이기성,채식주의자의 식탁,문학과지성사,문학과지성 시인선,469,2015,1998,문학과사회,문학과사회,매체 및 문학상,시,24
P0245,이기성,타일의 모든 것,문학과지성사,문학과지성 시인선,385,2010,1998,문학과사회,문학과사회,매체 및 문학상,시,12
P0245,이기성,불쑥 내민 손,문학과지성사,문학과지성 시인선,293,2004,1998,문학과사회,문학과사회,매체 및 문학상,시,19
P0235,윤의섭,어디서부터 오는 비인가요,민음사,민음의 시,264,2019,1994,문학과사회,문학과사회,매체 및 문학상,시,1
P0235,윤의섭,묵시록,민음사,민음의 시,209,2015,1994,문학과사회,문학과사회,매체 및 문학상,시,1
P0235,윤의섭,붉은 달은 미친 듯이 궤도를 돈다,문학과지성사,문학과지성 시인선,307,2005,1994,문학과사회,문학과사회,매체 및 문학상,시,1
P0210,엄원태,먼 우레처럼 다시 올 것이다,창비,창비시선,363,2013,1990,문학과사회,문학과사회,매체 및 문학상,시,3
P0210,엄원태,물방울 무덤,창비,창비시선,272,2007,1990,문학과사회,문학과사회,매체 및 문학상,시,2
P0198,심재상,넌 도돌이 표다,문학과지성사,문학과지성 시인선,279,2003,1992,문학과사회,문학과사회,매체 및 문학상,시,10
P0167,서정학,동네에서 제일 싼 프랑스,문학과지성사,문학과지성 시인선,498,2017,1995,문학과사회,문학과사회,매체 및 문학상,시,15
P0087,김중,거미는 이제 영영 돼지를 만나지 못한다,문학과지성사,문학과지성 시인선,260,2002,1999,문학과사회,문학과사회,매체 및 문학상,시,4
P0068,김연신,"시인, 시인들",문학과지성사,문학과지성 시인선,286,2004,1994,문학과사회,문학과사회,매체 및 문학상,시,4
P0209,양진건,귀한 매혹,문학과지성사,문학과지성 시인선,344,2008,1995,문학과사회 가을호,문학과사회,매체 및 문학상,시,1
P0035,김길나,둥근 밀떡에서 뜨는 해,문학과지성사,문학과지성 시인선,270,2003,1996,문학과사회 가을호,문학과사회,매체 및 문학상,시,3
P0411,황혜경,느낌 씨가 오고 있다,문학과지성사,문학과지성 시인선,424,2013,2010,문학과사회 신인문학상,문학과사회,신인상,시,1
P0392,하재연,라디오 데이즈,문학과지성사,문학과지성 시인선,327,2006,2002,문학과사회 신인문학상,문학과사회,신인상,시,2
P0390,최하연,팅커벨 꽃집,문학과지성사,문학과지성 시인선,427,2013,2003,문학과사회 신인문학상,문학과사회,신인상,시,5
P0390,최하연,피아노,문학과지성사,문학과지성 시인선,339,2007,2003,문학과사회 신인문학상,문학과사회,신인상,시,1
P0390,최하연,보헤미아 유리,문학과지성사,문학과지성 시인선,611,2024,2003,문학과사회 신인문학상,문학과사회,신인상,시,4
P0367,차호지,시작법,문학과지성사,문학과지성 시인선,605,2024,2021,문학과사회 신인문학상,문학과사회,신인상,시,31
P0322,장수진,사랑은 우르르 꿀꿀,문학과지성사,문학과지성 시인선,502,2017,2012,문학과사회 신인문학상,문학과사회,신인상,시,4
P0316,임지은,때때로 캥거루,문학과지성사,문학과지성 시인선,563,2021,2015,문학과사회 신인문학상,문학과사회,신인상,시,2
P0316,임지은,무구함과 소보로,문학과지성사,문학과지성 시인선,524,2019,2015,문학과사회 신인문학상,문학과사회,신인상,시,2
P0312,임승유,나는 겨울로 왔고 너는 여름에 있었다,문학과지성사,문학과지성 시인선,547,2021,2011,문학과사회 신인문학상,문학과사회,신인상,시,2
P0263,이설빈,울타리의 노래,문학과지성사,문학과지성 시인선,533,2019,2014,문학과사회 신인문학상,문학과사회,신인상,시,1
P0234,윤은성,주소를 쥐고,문학과지성사,문학과지성 시인선,558,2021,2017,문학과사회 신인문학상,문학과사회,신인상,시,2
P0160,백은선,가능세계,문학과지성사,문학과지성 시인선,481,2016,2012,문학과사회 신인문학상,문학과사회,신인상,시,1
P0128,박성준,잘 모르는 사이,문학과지성사,문학과지성 시인선,477,2016,2009,문학과사회 신인문학상,문학과사회,신인상,시,10
P0128,박성준,몰아 쓴 일기,문학과지성사,문학과지성 시인선,409,2012,2009,문학과사회 신인문학상,문학과사회,신인상,시,3
P0037,김리윤,투명도 혼합 공간,문학과지성사,문학과지성 시인선,571,2022,2019,문학과사회 신인문학상,문학과사회,신인상,시,1
P0296,이준규,네모,문학과지성사,문학과지성 시인선,444,2014,2000,문학과사회 여름호,문학과사회,매체 및 문학상,시,71
P0296,이준규,반복,문학동네,문학동네 시인선,51,2014,2000,문학과사회 여름호,문학과사회,매체 및 문학상,시,48
P0296,이준규,토마토가 익어가는 계절,문학과지성사,문학과지성 시인선,386,2010,2000,문학과사회 여름호,문학과사회,매체 및 문학상,시,1
P0296,이준규,흑백,문학과지성사,문학과지성 시인선,322,2006,2000,문학과사회 여름호,문학과사회,매체 및 문학상,시,9
P0266,이성복,래여애반다라,문학과지성사,문학과지성 시인선,421,2013,1977,문학과지성,문학과지성,매체 및 문학상,시,16
P0097,김혜수,이상한 야유회,창비,창비시선,323,2010,1979,문학과지성,문학과지성,매체 및 문학상,시,6
P0098,김혜순,지구가 죽으면 달은 누굴 돌지?,문학과지성사,문학과지성 시인선,567,2022,1979,문학과지성 가을호,문학과지성,매체 및 문학상,시,1
P0098,김혜순,피어라 돼지,문학과지성사,문학과지성 시인선,480,2016,1979,문학과지성 가을호,문학과지성,매체 및 문학상,시,3
P0098,김혜순,슬픔치약 거울크림,문학과지성사,문학과지성 시인선,401,2011,1979,문학과지성 가을호,문학과지성,매체 및 문학상,시,1
P0098,김혜순,당신의 첫,문학과지성사,문학과지성 시인선,345,2008,1979,문학과지성 가을호,문학과지성,매체 및 문학상,시,1
P0098,김혜순,한 잔의 붉은 거울,문학과지성사,문학과지성 시인선,288,2004,1979,문학과지성 가을호,문학과지성,매체 및 문학상,시,3
